date,1. open,2. high,3. low,4. close,5. volume
2020-03-09 09:31:00,151.0,151.14,150.0,150.96,3135213.0
2020-03-09 09:32:00,150.95,151.0894,150.29,150.74,268870.0
2020-03-09 09:33:00,150.74,151.15,150.46,151.0,262614.0
2020-03-09 09:34:00,150.5444,150.5444,150.5444,150.5444,258473.0
2020-03-09 09:35:00,150.47,150.47,150.47,150.47,0.0
2020-03-09 09:50:00,151.0,151.0,150.9088,150.9088,4721005.0
2020-03-09 09:51:00,150.51,152.24,150.51,152.24,372424.0
2020-03-09 09:52:00,152.49,152.5899,152.49,152.5899,312475.0
2020-03-09 09:53:00,152.6899,153.26,152.6899,153.26,349936.0
2020-03-09 09:54:00,153.15,154.64,153.15,154.64,378641.0
2020-03-09 09:55:00,155.035,155.035,154.82,154.82,549305.0
2020-03-09 09:56:00,154.69,154.69,154.53,154.53,424936.0
2020-03-09 09:57:00,154.62,156.89,154.62,156.89,362455.0
2020-03-09 09:58:00,156.9099,156.9099,156.33,156.34,344285.0
2020-03-09 09:59:00,155.15,156.38,154.86,154.89,412069.0
2020-03-09 10:00:00,154.9,155.59,154.84,155.12,233461.0
2020-03-09 10:01:00,155.14,155.5,154.64,155.19,231687.0
2020-03-09 10:02:00,155.145,155.31,154.93,155.1,246999.0
2020-03-09 10:03:00,155.08,155.4,154.93,155.2,219889.0
2020-03-09 10:04:00,155.25,155.37,154.8,154.96,244155.0
2020-03-09 10:05:00,154.95,155.18,154.0011,154.08,333645.0
2020-03-09 10:06:00,154.05,154.775,154.02,154.7,252830.0
2020-03-09 10:07:00,154.67,156.19,154.59,156.19,283010.0
2020-03-09 10:08:00,156.2,156.61,155.61,156.57,212531.0
2020-03-09 10:09:00,156.59,157.1599,156.2101,156.79,274548.0
2020-03-09 10:10:00,156.82,157.75,156.45,157.48,275524.0
2020-03-09 10:11:00,157.48,157.74,156.51,156.67,271407.0
2020-03-09 10:12:00,156.67,156.7,155.75,156.41,198919.0
2020-03-09 10:13:00,156.4,156.7399,155.91,156.06,169528.0
2020-03-09 10:14:00,156.0401,156.61,156.0401,156.61,288291.0
2020-03-09 10:15:00,156.58,156.59,156.16,156.385,181277.0
2020-03-09 10:16:00,156.37,157.08,156.36,156.91,180624.0
2020-03-09 10:17:00,156.91,157.17,156.64,156.95,191453.0
2020-03-09 10:18:00,156.94,157.41,156.61,157.22,219022.0
2020-03-09 10:19:00,157.17,157.68,157.17,157.4175,216177.0
2020-03-09 10:20:00,157.44,157.65,157.03,157.27,242433.0
2020-03-09 10:21:00,157.25,157.41,156.65,156.65,190297.0
2020-03-09 10:22:00,156.63,156.87,155.91,155.97,166859.0
2020-03-09 10:23:00,155.96,156.14,155.43,155.53,199374.0
2020-03-09 10:24:00,155.53,155.71,155.0,155.01,271848.0
2020-03-09 10:25:00,155.0101,155.1,153.83,154.12,281310.0
2020-03-09 10:26:00,154.13,154.2799,153.5,153.73,204058.0
2020-03-09 10:27:00,153.75,154.78,153.4804,154.555,220949.0
2020-03-09 10:28:00,154.555,155.05,154.19,154.8499,205766.0
2020-03-09 10:29:00,154.8,155.04,154.35,154.387,153384.0
2020-03-09 10:30:00,154.37,154.67,154.1601,154.36,148449.0
2020-03-09 10:31:00,154.3,154.64,153.97,154.04,134642.0
2020-03-09 10:32:00,154.01,154.41,154.0,154.01,190004.0
2020-03-09 10:33:00,154.03,154.39,153.92,154.1202,167701.0
2020-03-09 10:34:00,154.1,154.94,153.95,154.9,122808.0
2020-03-09 10:35:00,154.9,154.98,154.37,154.8,107046.0
2020-03-09 10:36:00,154.84,154.8919,154.37,154.5,134492.0
2020-03-09 10:37:00,154.52,154.62,154.06,154.33,140803.0
2020-03-09 10:38:00,154.31,154.72,154.01,154.48,105801.0
2020-03-09 10:39:00,154.46,154.61,154.21,154.6,198637.0
2020-03-09 10:40:00,154.61,155.0,154.5,154.965,99258.0
2020-03-09 10:41:00,154.97,155.14,154.69,155.03,153059.0
2020-03-09 10:42:00,155.07,155.5,155.03,155.0536,90061.0
2020-03-09 10:43:00,155.03,155.18,154.6,154.635,128735.0
2020-03-09 10:44:00,154.6378,154.6799,154.37,154.43,84947.0
2020-03-09 10:45:00,154.415,154.9,154.38,154.52,102812.0
2020-03-09 10:46:00,154.5223,154.7799,154.1,154.2,118496.0
2020-03-09 10:47:00,154.15,154.55,154.03,154.23,92629.0
2020-03-09 10:48:00,154.32,154.54,154.24,154.3175,86684.0
2020-03-09 10:49:00,154.31,154.4,154.06,154.0601,115016.0
2020-03-09 10:50:00,154.1001,154.37,154.02,154.17,104198.0
2020-03-09 10:51:00,154.18,154.25,154.07,154.13,84687.0
2020-03-09 10:52:00,154.1401,154.49,153.95,154.29,157884.0
2020-03-09 10:53:00,154.26,154.395,154.13,154.2,83455.0
2020-03-09 10:54:00,154.1878,154.5999,154.09,154.5999,174666.0
2020-03-09 10:55:00,154.55,154.65,154.33,154.3438,94105.0
2020-03-09 10:56:00,154.34,154.66,154.26,154.515,93023.0
2020-03-09 10:57:00,154.5,154.67,154.44,154.62,102432.0
2020-03-09 10:58:00,154.6248,154.6248,154.25,154.54,82586.0
2020-03-09 10:59:00,154.51,155.14,154.37,154.99,139016.0
2020-03-09 11:00:00,154.96,155.25,153.85,154.33,203606.0
2020-03-09 11:01:00,154.4,155.1199,154.38,155.11,177368.0
2020-03-09 11:02:00,155.1067,155.12,154.69,154.78,119667.0
2020-03-09 11:03:00,154.775,155.35,154.72,155.28,114120.0
2020-03-09 11:04:00,155.2999,155.3,154.71,154.85,110466.0
2020-03-09 11:05:00,154.85,155.1001,154.81,155.0799,143272.0
2020-03-09 11:06:00,155.05,155.22,154.8201,155.2,112560.0
2020-03-09 11:07:00,155.19,155.2399,154.7,154.77,146591.0
2020-03-09 11:08:00,154.76,154.91,154.38,154.39,110688.0
2020-03-09 11:09:00,154.38,154.7,154.31,154.5,79135.0
2020-03-09 11:10:00,154.49,154.86,154.41,154.79,89776.0
2020-03-09 11:11:00,154.78,155.46,154.72,155.27,118365.0
2020-03-09 11:12:00,155.3,155.39,155.02,155.03,199825.0
2020-03-09 11:13:00,155.04,155.72,154.95,155.6401,123100.0
2020-03-09 11:14:00,155.6901,155.79,155.41,155.42,124731.0
2020-03-09 11:15:00,155.42,155.65,155.17,155.6,68406.0
2020-03-09 11:16:00,155.5701,155.79,155.402,155.628,88008.0
2020-03-09 11:17:00,155.6056,156.41,155.59,156.235,208918.0
2020-03-09 11:18:00,156.22,156.62,156.12,156.61,156512.0
2020-03-09 11:19:00,156.63,156.88,156.34,156.6602,141786.0
2020-03-09 11:20:00,156.6667,157.0,156.56,156.56,143251.0
2020-03-09 11:21:00,156.56,156.84,156.44,156.52,113296.0
2020-03-09 11:22:00,156.53,156.8,156.32,156.37,90049.0
2020-03-09 11:23:00,156.3546,156.66,156.25,156.615,106744.0
2020-03-09 11:24:00,156.64,156.8199,156.14,156.27,96604.0
2020-03-09 11:25:00,156.241,156.62,156.07,156.51,85075.0
2020-03-09 11:26:00,156.51,156.56,155.9199,155.96,139819.0
2020-03-09 11:27:00,155.97,156.1699,155.62,155.85,166202.0
2020-03-09 11:28:00,155.85,155.8999,155.45,155.5199,143866.0
