date,1. open,2. high,3. low,4. close,5. volume
2020-01-31 09:45:00,171.63,172.2702,171.22,171.59,2361215.0
2020-01-31 10:00:00,171.58,171.9,171.27,171.72,1433887.0
2020-01-31 10:15:00,171.71,171.71,170.95,171.13,1414536.0
2020-01-31 10:30:00,171.12,171.47,170.81,170.84,1200527.0
2020-01-31 10:45:00,170.84,171.12,170.32,170.35,1137130.0
2020-01-31 11:00:00,170.34,170.87,170.28,170.76,930876.0
2020-01-31 11:15:00,170.78,170.96,170.32,170.51,949540.0
2020-01-31 11:30:00,170.5,170.71,169.94,170.09,1113521.0
2020-01-31 11:45:00,170.11,170.33,169.61,170.2,1067792.0
2020-01-31 12:00:00,170.2,170.68,170.15,170.64,721511.0
2020-01-31 12:15:00,170.64,170.6508,170.19,170.21,509140.0
2020-01-31 12:30:00,170.24,170.66,170.2,170.61,467453.0
2020-01-31 12:45:00,170.6,170.6,169.82,170.55,833786.0
2020-01-31 13:00:00,170.56,170.67,170.18,170.48,754929.0
2020-01-31 13:15:00,170.46,170.77,170.24,170.49,610473.0
2020-01-31 13:30:00,170.435,170.73,170.26,170.6,615448.0
2020-01-31 13:45:00,170.58,170.59,170.14,170.2002,477830.0
2020-01-31 14:00:00,170.21,170.71,170.21,170.61,686989.0
2020-01-31 14:15:00,170.6,171.11,170.5922,171.01,821226.0
2020-01-31 14:30:00,171.005,171.12,170.53,170.81,708645.0
2020-01-31 14:45:00,170.8,171.31,170.71,170.855,607256.0
2020-01-31 15:00:00,170.86,170.99,170.67,170.69,512618.0
2020-01-31 15:15:00,170.69,170.86,170.105,170.14,870276.0
2020-01-31 15:30:00,170.165,170.47,170.03,170.0884,946251.0
2020-01-31 15:45:00,170.09,170.3237,169.65,170.2571,1376516.0
2020-01-31 16:00:00,170.27,170.61,170.05,170.18,2793343.0
2020-02-03 09:45:00,170.4,171.5531,170.4,171.4441,2476931.0
2020-02-03 10:00:00,171.45,172.22,171.45,172.22,1265587.0
2020-02-03 10:15:00,172.23,173.0,171.95,173.0,1393708.0
2020-02-03 10:30:00,172.99,173.13,172.775,173.05,979131.0
