date,1. open,2. high,3. low,4. close,5. volume
2020-02-24 09:35:00,166.8619,169.6,165.64,169.22,8770593.0
2020-02-24 09:40:00,169.24,171.775,169.2,171.775,2350180.0
2020-02-24 09:45:00,171.53,172.66,170.8642,172.66,1805586.0
2020-02-24 09:50:00,172.55,173.42,172.3957,172.3957,1287322.0
2020-02-24 09:55:00,172.37,173.8,172.37,173.8,1158374.0
2020-02-24 10:00:00,173.76,174.41,173.36,174.25,1065682.0
2020-02-24 10:05:00,174.2456,174.47,173.59,173.7791,1067551.0
2020-02-24 10:10:00,173.8,174.24,173.48,173.83,798976.0
2020-02-24 10:15:00,173.83,174.55,173.34,174.44,879852.0
2020-02-24 10:20:00,174.46,174.48,173.455,173.5,741606.0
2020-02-24 10:25:00,173.5,173.51,172.5755,172.96,917759.0
2020-02-24 10:30:00,172.975,173.09,172.05,172.42,719338.0
2020-02-24 10:35:00,172.37,172.55,171.18,171.695,907367.0
2020-02-24 10:40:00,171.695,172.13,171.35,172.05,1081259.0
2020-02-24 10:45:00,172.03,172.43,171.51,172.35,895174.0
2020-02-24 10:50:00,172.34,172.49,171.94,172.43,718919.0
2020-02-24 10:55:00,172.42,172.86,172.375,172.57,581108.0
2020-02-24 11:00:00,172.58,173.16,172.58,172.96,458736.0
2020-02-24 11:05:00,172.92,173.15,172.2,172.42,478656.0
2020-02-24 11:10:00,172.43,172.82,172.3505,172.46,410321.0
2020-02-24 11:15:00,172.46,172.53,172.01,172.1381,335675.0
2020-02-24 11:20:00,172.13,173.05,171.95,172.9225,655013.0
2020-02-24 11:25:00,172.93,173.18,172.42,172.5,427103.0
2020-02-24 11:30:00,172.48,172.5434,171.87,172.05,583969.0
2020-02-24 11:35:00,172.05,172.175,171.55,171.85,658614.0
2020-02-24 11:40:00,171.86,172.28,171.63,171.96,440712.0
2020-02-24 11:45:00,171.96,171.96,171.15,171.5,507269.0
2020-02-24 11:50:00,171.51,171.61,171.0701,171.36,310880.0
2020-02-24 11:55:00,171.385,171.68,171.34,171.48,345245.0
2020-02-24 12:00:00,171.49,172.39,171.3,171.86,433736.0
2020-02-24 12:05:00,171.86,171.9,171.25,171.35,347357.0
2020-02-24 12:10:00,171.35,171.4,170.785,170.785,458690.0
2020-02-24 12:15:00,170.785,171.47,170.7,171.28,362932.0
2020-02-24 12:20:00,171.28,171.8,171.15,171.76,383957.0
2020-02-24 12:25:00,171.77,171.85,171.5262,171.55,283801.0
2020-02-24 12:30:00,171.57,171.99,171.44,171.66,334702.0
2020-02-24 12:35:00,171.65,171.82,171.44,171.628,292584.0
2020-02-24 12:40:00,171.6,172.34,171.59,172.25,336896.0
2020-02-24 12:45:00,172.26,172.4301,172.04,172.319,279446.0
2020-02-24 12:50:00,172.32,172.35,171.89,172.17,338064.0
2020-02-24 12:55:00,172.1601,172.2,171.84,172.04,230428.0
2020-02-24 13:00:00,172.05,172.09,171.63,171.71,276186.0
2020-02-24 13:05:00,171.69,171.69,170.94,170.985,424013.0
2020-02-24 13:10:00,170.98,171.39,170.95,171.0959,367006.0
2020-02-24 13:15:00,171.105,171.24,170.8,171.07,278481.0
2020-02-24 13:20:00,171.04,171.09,170.685,171.0764,290697.0
2020-02-24 13:25:00,171.0624,171.535,171.016,171.2,341816.0
2020-02-24 13:30:00,171.22,171.87,171.09,171.82,310261.0
2020-02-24 13:35:00,171.81,172.15,171.58,171.91,267886.0
2020-02-24 13:40:00,171.91,172.22,171.77,172.05,305569.0
2020-02-24 13:45:00,172.065,172.065,171.61,171.87,287969.0
2020-02-24 13:50:00,171.89,172.395,171.86,172.12,360945.0
2020-02-24 13:55:00,172.137,172.3,171.99,172.09,221102.0
2020-02-24 14:00:00,172.11,172.45,171.75,172.2,254391.0
2020-02-24 14:05:00,172.18,172.43,171.94,171.98,240245.0
2020-02-24 14:10:00,171.97,172.2533,171.47,171.62,330791.0
2020-02-24 14:15:00,171.5923,171.835,171.46,171.49,291748.0
2020-02-24 14:20:00,171.49,171.77,171.23,171.45,312185.0
2020-02-24 14:25:00,171.45,172.15,171.45,172.07,303513.0
2020-02-24 14:30:00,172.08,172.92,172.0576,172.82,443676.0
2020-02-24 14:35:00,172.82,172.98,172.76,172.86,303177.0
2020-02-24 14:40:00,172.86,173.14,172.59,173.055,323993.0
2020-02-24 14:45:00,173.055,173.205,172.71,173.16,374615.0
2020-02-24 14:50:00,173.165,173.46,173.11,173.45,360195.0
2020-02-24 14:55:00,173.4301,173.6,173.08,173.5295,399855.0
2020-02-24 15:00:00,173.53,174.1,173.4,173.87,504888.0
2020-02-24 15:05:00,173.8441,174.25,173.65,173.98,649077.0
2020-02-24 15:10:00,174.0,174.08,173.73,173.74,395240.0
2020-02-24 15:15:00,173.7301,173.77,172.875,173.2,674118.0
